mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CSRP1|1465,11127.70071,-0.409275252,0.095783696,-4.272911462,1.93E-05,0.000153719
PPP1R3D|5509,754.9742174,-0.412207411,0.098168766,-4.198967025,2.68E-05,0.000205054
PLSCR4|57088,758.432533,-0.412916606,0.100608341,-4.104198538,4.06E-05,0.000291261
TSPAN2|10100,447.3149882,-0.412918918,0.172798735,-2.389594564,0.016866981,0.046256979
MCART6|401612,20.80997525,-0.412947254,0.137920317,-2.994100233,0.002752555,0.010290376
FAM70B|348013,165.6031048,-0.413069984,0.165615675,-2.494147869,0.012625993,0.036482389
STX11|8676,136.0457729,-0.413229186,0.155334597,-2.660252085,0.007808219,0.02464858
C8orf33|65265,5047.069037,-0.413593962,0.103066824,-4.012871906,6.00E-05,0.00040467
C20orf177|63939,617.6085178,-0.413751699,0.108989128,-3.796265794,0.000146892,0.000875573
MAP4K2|5871,709.1461621,-0.413868304,0.087768179,-4.715471016,2.41E-06,2.56E-05
PKIG|11142,1572.087799,-0.413933405,0.089164412,-4.642361188,3.44E-06,3.47E-05
ZNF419|79744,184.0103997,-0.414685818,0.108815532,-3.81090648,0.000138458,0.0008335
SNAI2|6591,321.4551456,-0.414710266,0.136632918,-3.035214885,0.002403644,0.009197869
FSIP1|161835,18.95720756,-0.415371463,0.162635392,-2.554004136,0.010649199,0.031720326
SLC9A8|23315,1779.281689,-0.415518017,0.078200461,-5.313498313,1.08E-07,1.74E-06
FADS3|3995,558.5109016,-0.415590167,0.102770447,-4.043868434,5.26E-05,0.000361562
LOC100134368|100134368,9.322129908,-0.415670562,0.121139183,-3.431346918,0.000600592,0.0028768
GPR116|221395,873.1845785,-0.415678436,0.117240311,-3.54552485,0.000391832,0.002014359
LOC100271722|100271722,50.95710617,-0.415962564,0.129905451,-3.202040869,0.001364576,0.005743801
TFEC|22797,133.3970865,-0.416100192,0.175374716,-2.372635007,0.017661707,0.048113175
METTL7A|25840,1896.702792,-0.416255424,0.133103458,-3.127307369,0.001764154,0.007144502
CTF1|1489,63.01654198,-0.416752367,0.176203451,-2.365177093,0.018021451,0.048973091
DENND2A|27147,308.5464495,-0.417086532,0.122985026,-3.39136029,0.000695466,0.003239676
FGD2|221472,213.2208806,-0.417462129,0.146312241,-2.853227626,0.004327761,0.015012414
CDH6|1004,135.3486273,-0.417582272,0.124048299,-3.366287779,0.000761872,0.003508154
KIAA1409|57578,4.553229192,-0.417825323,0.146132882,-2.859214966,0.004246909,0.014765244
ABCC6P1|653190,78.7384869,-0.418382082,0.174331601,-2.399921074,0.016398607,0.045220539
TENC1|23371,1504.520532,-0.418448726,0.101949227,-4.104481579,4.05E-05,0.000291079
CCDC65|85478,5.037944829,-0.418597894,0.164713414,-2.541371009,0.011041868,0.032679485
PCDH18|54510,816.9738674,-0.418928656,0.131194469,-3.193188387,0.001407111,0.005890603
FRMD4A|55691,562.2160646,-0.420080708,0.105903096,-3.966651821,7.29E-05,0.0004787
CYP26B1|56603,129.1968706,-0.420088077,0.177256395,-2.36994596,0.017790685,0.048431544
TSC22D3|1831,2178.716353,-0.420214737,0.116950378,-3.593102867,0.000326764,0.001723718
SLC2A12|154091,763.6767129,-0.420324032,0.167867529,-2.503903137,0.012283166,0.035724076
CHN2|1124,1368.169447,-0.420474344,0.1602657,-2.62360782,0.00870039,0.026887715
ZNF467|168544,87.47654578,-0.420599626,0.125573939,-3.349418128,0.000809815,0.00368658
SLFN12|55106,67.03184882,-0.420850952,0.142117731,-2.961283919,0.003063594,0.01123936
KLF9|687,1193.237837,-0.420868567,0.120288765,-3.4988186,0.000467324,0.002335221
PPP2R3A|5523,320.873555,-0.42124402,0.110006611,-3.829260936,0.000128529,0.000781014
C8orf77|286103,30.07630083,-0.421332243,0.145350817,-2.898726358,0.003746817,0.013294687
C21orf49|54067,12.76092405,-0.421496534,0.163441007,-2.578890956,0.009911807,0.029899529
ADAMTS4|9507,1013.001674,-0.421648614,0.142611783,-2.956618349,0.003110328,0.011381582
BTBD18|643376,1.676647504,-0.421905014,0.174431603,-2.418741824,0.01557429,0.043305707
TBCEL|219899,391.6760538,-0.42202536,0.09311722,-4.532194596,5.84E-06,5.45E-05
COL4A1|1282,19742.39172,-0.422305389,0.118654765,-3.559110237,0.000372113,0.001928855
LOC100302650|100302650,22.78250854,-0.422347391,0.132080518,-3.197650935,0.001385519,0.005816038
SUSD3|203328,285.3941015,-0.423345512,0.170494136,-2.48305028,0.01302627,0.037444207
