Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
FAHD2B,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
FAM133A,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
FAM178A,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
FAM196A,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
FAM19A5,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
FAM227B,4,7,264,104,0.185261961,0.009133882,0.516504611,0.804354794,0.707124011,0.037037037,0.974169742,0.363636364,0.037037037,0.067226891
FLRT3,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
FOXJ2,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
FOXK1,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
FUT8,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
FUT9,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
GAB1,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
GABBR2,4,5,266,104,0.186653303,0.015148878,0.281632152,0.484511767,0.712401055,0.037037037,0.981549815,0.444444444,0.037037037,0.068376068
GAPVD1,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
GATA6,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
GGPS1,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
GIGYF1,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
GLRA2,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
GPC4,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
GRIK4,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
GRM1,4,7,264,104,0.185261961,0.009133882,0.516504611,0.804354794,0.707124011,0.037037037,0.974169742,0.363636364,0.037037037,0.067226891
GRM3,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
GRM8,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
GXYLT1,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
